1000;2;0;0
2000;8;0;0
3000;18;0;0
4000;32;0;0
5000;51;0;0
6000;75;1;0
7000;99;1;0
8000;132;1;0
9000;167;1;0
10000;206;2;0
11000;253;2;0
12000;296;2;0
13000;349;2;0
14000;403;2;0
15000;474;3;0
16000;542;3;0
17000;596;3;0
18000;674;3;0
19000;750;4;0
20000;843;4;0
21000;902;4;0
22000;998;4;0
23000;1090;5;0
24000;1190;5;0
25000;1300;5;0
26000;1399;5;0
27000;1508;6;0
28000;1624;6;0
29000;1748;6;0
30000;1870;6;0
31000;1983;7;0
32000;2129;7;0
33000;2268;7;1
34000;2454;7;1
35000;2570;8;0
36000;2681;8;1
37000;2840;8;1
38000;2996;8;1
39000;3148;9;1
40000;3302;10;1
41000;3499;9;0
42000;3639;9;1
43000;3832;10;1
44000;4024;13;1
45000;4162;10;1
46000;4366;10;1
47000;4594;11;1
48000;4769;11;1
49000;4996;11;1
50000;5141;12;1
51000;5399;12;1
52000;5624;12;1
53000;5827;12;1
54000;5997;13;1
55000;6226;13;1
56000;6496;13;1
57000;6706;15;1
58000;6984;14;1
59000;7238;14;1
60000;7462;14;1
61000;7733;15;1
62000;7960;15;1
63000;8200;15;1
64000;8495;15;1
65000;8761;16;1
66000;9020;16;1
67000;9285;16;1
68000;9623;17;1
69000;9819;17;1
70000;10178;17;1
71000;10437;17;1
72000;10719;18;1
73000;11023;18;1
74000;11342;18;1
75000;11673;18;1
76000;11957;19;1
77000;12255;19;1
78000;12629;20;1
79000;12929;19;1
80000;13230;20;1
81000;13638;20;1
82000;13962;20;1
83000;14236;20;1
84000;14629;21;1
85000;14974;22;1
86000;15306;22;1
87000;15660;22;1
88000;16072;22;1
89000;16348;22;1
90000;16803;23;1
91000;17216;23;1
92000;17575;23;1
93000;17956;23;1
94000;18700;24;1
95000;18954;24;1
96000;19240;24;1
97000;19551;25;1
98000;19937;25;1
99000;20272;25;1
100000;20748;26;1
