701000;0;217;6
702000;0;207;6
703000;0;208;6
704000;0;209;7
705000;0;208;6
706000;0;208;6
707000;0;208;6
708000;0;209;6
709000;0;209;7
710000;0;209;7
711000;0;209;6
712000;0;216;6
713000;0;210;6
714000;0;210;6
715000;0;211;7
716000;0;211;6
717000;0;212;7
718000;0;212;6
719000;0;212;7
720000;0;212;7
721000;0;213;7
722000;0;213;7
723000;0;213;7
724000;0;214;7
725000;0;214;6
726000;0;214;7
727000;0;234;7
728000;0;214;7
729000;0;215;7
730000;0;215;7
731000;0;215;7
732000;0;222;7
733000;0;220;6
734000;0;216;7
735000;0;217;7
736000;0;217;7
737000;0;224;8
738000;0;219;7
739000;0;217;6
740000;0;218;7
741000;0;218;7
742000;0;230;7
743000;0;219;7
744000;0;219;7
745000;0;222;7
746000;0;222;7
747000;0;220;7
748000;0;221;7
749000;0;221;7
750000;0;222;7
751000;0;222;7
752000;0;222;7
753000;0;223;7
754000;0;223;7
755000;0;227;7
756000;0;229;7
757000;0;225;7
758000;0;236;11
759000;0;228;7
760000;0;226;7
761000;0;228;7
762000;0;227;7
763000;0;229;7
764000;0;227;7
765000;0;228;7
766000;0;230;7
767000;0;228;7
768000;0;228;7
769000;0;229;7
770000;0;230;7
771000;0;240;7
772000;0;231;7
773000;0;231;7
774000;0;238;7
775000;0;233;7
776000;0;231;7
777000;0;232;7
778000;0;232;7
779000;0;232;7
780000;0;232;7
781000;0;232;7
782000;0;234;7
783000;0;234;7
784000;0;235;7
785000;0;252;7
786000;0;235;7
787000;0;236;7
788000;0;234;6
789000;0;246;7
790000;0;237;8
791000;0;237;7
792000;0;235;7
793000;0;238;7
794000;0;238;7
795000;0;238;7
796000;0;248;12
797000;0;240;8
798000;0;239;7
799000;0;240;7
800000;0;241;7
801000;0;238;8
802000;0;239;7
803000;0;252;7
804000;0;238;7
805000;0;239;7
806000;0;240;7
807000;0;250;7
808000;0;240;7
809000;0;240;7
810000;0;241;8
811000;0;241;7
812000;0;242;8
813000;0;242;8
814000;0;250;7
815000;0;242;7
816000;0;312;10
817000;0;244;8
818000;0;244;7
819000;0;243;7
820000;0;244;7
821000;0;245;8
822000;0;245;8
823000;0;244;7
824000;0;247;7
825000;0;244;8
826000;0;245;7
827000;0;247;7
828000;0;249;8
829000;0;246;8
830000;0;247;7
831000;0;248;8
832000;0;247;7
833000;0;248;8
834000;0;262;8
835000;0;248;7
836000;0;248;8
837000;0;248;7
838000;0;249;8
839000;0;249;8
840000;0;259;8
841000;0;250;8
842000;0;250;8
843000;0;250;7
844000;0;255;8
845000;0;251;8
846000;0;251;8
847000;0;251;8
848000;0;276;10
849000;0;252;8
850000;0;252;8
851000;0;253;8
852000;0;253;8
853000;0;254;8
854000;0;253;8
855000;0;253;8
856000;0;254;8
857000;0;260;7
858000;0;255;8
859000;0;256;8
860000;0;255;8
861000;0;256;8
862000;0;257;8
863000;0;256;8
864000;0;257;8
865000;0;257;8
866000;0;258;8
867000;0;258;8
868000;0;259;8
869000;0;259;8
870000;0;261;8
871000;0;262;8
872000;0;259;8
873000;0;260;8
874000;0;261;8
875000;0;261;8
876000;0;262;8
877000;0;263;8
878000;0;262;8
879000;0;262;8
880000;0;262;8
881000;0;262;8
882000;0;266;8
883000;0;263;8
884000;0;263;8
885000;0;264;8
886000;0;264;8
887000;0;268;8
888000;0;264;8
889000;0;264;8
890000;0;266;8
891000;0;267;8
892000;0;265;8
893000;0;268;8
894000;0;266;8
895000;0;266;8
896000;0;266;8
897000;0;267;8
898000;0;268;8
899000;0;268;8
900000;0;268;8
901000;0;268;8
902000;0;272;8
903000;0;270;8
904000;0;269;9
905000;0;270;8
906000;0;270;8
907000;0;282;8
908000;0;271;9
909000;0;271;9
910000;0;271;8
911000;0;271;8
912000;0;272;8
913000;0;272;8
914000;0;271;8
915000;0;275;9
916000;0;272;8
917000;0;272;9
918000;0;273;8
919000;0;273;8
920000;0;274;8
921000;0;274;8
922000;0;274;8
923000;0;280;8
924000;0;275;9
925000;0;275;8
926000;0;276;8
927000;0;276;8
928000;0;285;8
929000;0;280;9
930000;0;277;9
931000;0;277;8
932000;0;277;8
933000;0;277;8
934000;0;282;8
935000;0;277;9
936000;0;279;8
937000;0;279;8
938000;0;279;8
939000;0;280;9
940000;0;280;8
941000;0;281;8
942000;0;283;8
943000;0;283;9
944000;0;283;8
945000;0;284;8
946000;0;290;8
947000;0;284;9
948000;0;284;8
949000;0;285;9
950000;0;285;8
951000;0;288;9
952000;0;286;8
953000;0;286;9
954000;0;289;9
955000;0;286;9
956000;0;288;9
957000;0;290;9
958000;0;290;8
959000;0;288;8
960000;0;299;9
961000;0;289;9
962000;0;292;8
963000;0;293;9
964000;0;292;8
965000;0;290;9
966000;0;292;9
967000;0;297;9
968000;0;291;9
969000;0;293;9
970000;0;292;9
971000;0;292;9
972000;0;295;9
973000;0;294;9
974000;0;295;9
975000;0;295;9
976000;0;295;9
977000;0;299;9
978000;0;296;9
979000;0;294;9
980000;0;298;9
981000;0;305;9
982000;0;297;9
983000;0;295;8
984000;0;299;9
985000;0;295;9
986000;0;296;9
987000;0;297;9
988000;0;302;10
989000;0;304;9
990000;0;301;9
991000;0;300;9
992000;0;302;9
993000;0;302;9
994000;0;301;9
995000;0;303;12
996000;0;311;10
997000;0;303;9
998000;0;303;9
999000;0;301;9
1000000;0;300;9
